segment_id,level_rule_id,level,level_score,computed_at
SEG_000297,1,2,33.0,2026-02-16 01:31:59
SEG_000298,1,2,34.5,2026-02-16 01:31:59
SEG_000299,1,2,34.5,2026-02-16 01:31:59
SEG_000300,1,2,33.0,2026-02-16 01:31:59
SEG_000301,1,2,33.0,2026-02-16 01:31:59
SEG_000302,1,2,40.5,2026-02-16 01:31:59
SEG_000303,1,2,33.0,2026-02-16 01:31:59
SEG_000304,1,2,33.0,2026-02-16 01:31:59
SEG_000305,1,2,33.0,2026-02-16 01:31:59
SEG_000306,1,2,33.0,2026-02-16 01:31:59
SEG_000307,1,2,35.5,2026-02-16 01:31:59
SEG_000308,1,2,35.5,2026-02-16 01:31:59
SEG_000309,1,2,35.5,2026-02-16 01:31:59
SEG_000310,1,2,35.5,2026-02-16 01:31:59
SEG_000311,1,2,35.5,2026-02-16 01:31:59
SEG_000312,1,2,35.5,2026-02-16 01:31:59
SEG_000313,1,2,33.0,2026-02-16 01:31:59
SEG_000314,1,2,33.0,2026-02-16 01:31:59
SEG_000315,1,2,33.0,2026-02-16 01:31:59
SEG_000316,1,2,35.5,2026-02-16 01:31:59
SEG_000317,1,2,35.5,2026-02-16 01:31:59
SEG_000318,1,2,35.5,2026-02-16 01:31:59
SEG_000319,1,2,35.5,2026-02-16 01:31:59
SEG_000320,1,2,35.5,2026-02-16 01:31:59
SEG_000321,1,2,35.5,2026-02-16 01:31:59
SEG_000322,1,2,35.5,2026-02-16 01:31:59
SEG_000323,1,2,35.5,2026-02-16 01:31:59
SEG_000324,1,2,35.5,2026-02-16 01:31:59
SEG_000325,1,2,33.0,2026-02-16 01:31:59
SEG_000326,1,2,35.5,2026-02-16 01:31:59
SEG_000327,1,2,35.5,2026-02-16 01:31:59
SEG_000328,1,2,35.5,2026-02-16 01:31:59
SEG_000329,1,2,35.5,2026-02-16 01:31:59
SEG_000330,1,2,40.0,2026-02-16 01:31:59
SEG_000331,1,2,40.0,2026-02-16 01:31:59
SEG_000332,1,2,40.0,2026-02-16 01:31:59
SEG_000333,1,2,40.0,2026-02-16 01:31:59
SEG_000334,1,1,31.0,2026-02-16 01:31:59
SEG_000335,1,2,40.0,2026-02-16 01:31:59
SEG_000336,1,1,29.8,2026-02-16 01:31:59
SEG_000337,1,2,38.8,2026-02-16 01:31:59
SEG_000338,1,2,40.0,2026-02-16 01:31:59
SEG_000339,1,2,40.0,2026-02-16 01:31:59
SEG_000340,1,2,38.8,2026-02-16 01:31:59
SEG_000341,1,2,40.0,2026-02-16 01:31:59
SEG_000342,1,2,38.8,2026-02-16 01:31:59
SEG_000343,1,1,31.0,2026-02-16 01:31:59
SEG_000344,1,3,51.1,2026-02-16 01:31:59
SEG_000345,1,3,51.1,2026-02-16 01:31:59
SEG_000346,1,3,42.3,2026-02-16 01:31:59
SEG_000347,1,3,42.3,2026-02-16 01:31:59
SEG_000348,1,3,42.3,2026-02-16 01:31:59
SEG_000349,1,1,31.0,2026-02-16 01:31:59
SEG_000350,1,1,31.0,2026-02-16 01:31:59
SEG_000351,1,1,29.8,2026-02-16 01:31:59
SEG_000352,1,3,42.3,2026-02-16 01:31:59
SEG_000353,1,1,29.8,2026-02-16 01:31:59
SEG_000354,1,3,49.9,2026-02-16 01:31:59
SEG_000355,1,2,39.5,2026-02-16 01:31:59
SEG_000356,1,1,31.0,2026-02-16 01:31:59
SEG_000357,1,2,38.8,2026-02-16 01:31:59
SEG_000358,1,1,31.0,2026-02-16 01:31:59
SEG_000359,1,2,39.5,2026-02-16 01:31:59
SEG_000360,1,2,41.1,2026-02-16 01:31:59
SEG_000361,1,3,49.9,2026-02-16 01:31:59
SEG_000362,1,3,46.3,2026-02-16 01:31:59
SEG_000363,1,1,29.8,2026-02-16 01:31:59
SEG_000364,1,1,29.8,2026-02-16 01:31:59
SEG_000365,1,2,35.5,2026-02-16 01:31:59
SEG_000366,1,2,35.5,2026-02-16 01:31:59
SEG_000367,1,2,37.0,2026-02-16 01:31:59
SEG_000368,1,2,35.5,2026-02-16 01:31:59
SEG_000369,1,2,35.5,2026-02-16 01:31:59
SEG_000370,1,2,37.0,2026-02-16 01:31:59
SEG_000371,1,2,41.5,2026-02-16 01:31:59
SEG_000372,1,2,37.0,2026-02-16 01:31:59
SEG_000373,1,2,35.5,2026-02-16 01:31:59
SEG_000374,1,2,35.5,2026-02-16 01:31:59
SEG_000375,1,2,37.2,2026-02-16 01:31:59
SEG_000376,1,1,29.8,2026-02-16 01:31:59
SEG_000377,1,2,32.8,2026-02-16 01:31:59
SEG_000378,1,2,35.5,2026-02-16 01:31:59
SEG_000379,1,2,35.5,2026-02-16 01:31:59
SEG_000380,1,1,29.8,2026-02-16 01:31:59
SEG_000381,1,3,47.5,2026-02-16 01:31:59
SEG_000382,1,2,40.0,2026-02-16 01:31:59
SEG_000383,1,2,40.0,2026-02-16 01:31:59
SEG_000384,1,3,47.5,2026-02-16 01:31:59
SEG_000385,1,3,43.5,2026-02-16 01:31:59
SEG_000386,1,2,35.5,2026-02-16 01:31:59
SEG_000387,1,2,37.0,2026-02-16 01:31:59
SEG_000388,1,3,45.0,2026-02-16 01:31:59
SEG_000389,1,3,45.0,2026-02-16 01:31:59
SEG_000390,1,3,47.5,2026-02-16 01:31:59
SEG_000391,1,2,38.5,2026-02-16 01:31:59
SEG_000392,1,2,38.5,2026-02-16 01:31:59
SEG_000393,1,2,37.0,2026-02-16 01:31:59
SEG_000394,1,2,37.0,2026-02-16 01:31:59
SEG_000395,1,2,35.5,2026-02-16 01:31:59
SEG_000396,1,2,38.5,2026-02-16 01:31:59
SEG_000397,1,2,38.5,2026-02-16 01:31:59
