segment_id,original_way_id,road_name,highway_type,lanes,width,maxspeed,start_lat,start_lon,end_lat,end_lon,center_lat,center_lon,num_points,coordinates_json
SEG_000011,31755401,역삼로74길,residential,,,,37.4998569,127.0550455,37.5012101,127.0551888,37.50051855,127.05511336666666,6,"[[127.0550455, 37.4998569], [127.0550772, 37.5001011], [127.0550931, 37.5002684], [127.0551068, 37.5005332], [127.0551688, 37.5011416], [127.0551888, 37.5012101]]"
SEG_000012,31755403,도곡로69길,residential,,,,37.497417,127.0563167,37.4998569,127.0550455,37.498210111111106,127.0559002,9,"[[127.0563167, 37.497417], [127.056297, 37.4974538], [127.0562932, 37.4974609], [127.0560886, 37.4978435], [127.0560079, 37.4979943], [127.0559451, 37.4981276], [127.0556496, 37.4986825], [127.0554582, 37.4990545], [127.0550455, 37.4998569]]"
SEG_000013,31755407,선릉로64길,residential,,,,37.4975743,127.0522893,37.4981584,127.0540682,37.49788923333333,127.05323913333332,6,"[[127.0522893, 37.4975743], [127.0529879, 37.497807], [127.0531816, 37.4978715], [127.0532499, 37.4978943], [127.0536579, 37.4980299], [127.0540682, 37.4981584]]"
SEG_000014,31779784,도곡로73길,service,,,,37.5002776,127.056306,37.4979637,127.0580187,37.4988078125,127.057206425,8,"[[127.056306, 37.5002776], [127.0567997, 37.4993498], [127.0569209, 37.4991042], [127.0570689, 37.498808], [127.0572039, 37.498541], [127.0573639, 37.4984201], [127.0579694, 37.4979981], [127.0580187, 37.4979637]]"
SEG_000015,37395764,광나루로,primary,,,,37.5380124,127.0999088,37.539553,127.0980664,37.53877666,127.09903147999998,5,"[[127.0999088, 37.5380124], [127.0993766, 37.5385106], [127.0990487, 37.5387848], [127.0987569, 37.5390225], [127.0980664, 37.539553]]"
SEG_000016,37395803,테헤란로115길,tertiary,,,,37.5101321,127.0673608,37.5123579,127.0670329,37.51107375,127.067221475,4,"[[127.0673608, 37.5101321], [127.067343, 37.510252], [127.0671492, 37.511553], [127.0670329, 37.5123579]]"
SEG_000017,37395808,이름없음,trunk_link,,,,37.4986726,127.0820112,37.4979579,127.0846934,37.4982815,127.083350525,4,"[[127.0820112, 37.4986726], [127.0830581, 37.4983423], [127.0836394, 37.4981532], [127.0846934, 37.4979579]]"
SEG_000018,37398869,자양번영로,tertiary,,,,37.5296951,127.0746217,37.530543,127.0748984,37.529991700000004,127.07471826666666,3,"[[127.0746217, 37.5296951], [127.0746347, 37.529737], [127.0748984, 37.530543]]"
SEG_000019,37398872,뚝섬로,secondary,2,,,37.5324164,127.0853111,37.5334798,127.0883154,37.53296574545455,127.08680773636364,11,"[[127.0853111, 37.5324164], [127.0854452, 37.5324785], [127.0855665, 37.5325327], [127.08633, 37.5328], [127.0864079, 37.5328283], [127.0868723, 37.5329969], [127.0873701, 37.5331787], [127.0876285, 37.5332611], [127.0877868, 37.5333157], [127.0878513, 37.5333351], [127.0883154, 37.5334798]]"
SEG_000020,37398872,뚝섬로,secondary,2,,,37.5334798,127.0883154,37.5344847,127.0917181,37.534048066666664,127.0902205,6,"[[127.0883154, 37.5334798], [127.0886098, 37.5335677], [127.0900292, 37.5340047], [127.0910605, 37.5343015], [127.09159, 37.53445], [127.0917181, 37.5344847]]"
